group,replicate,fastq_1,fastq_2,strandedness,donor
grpA,1,../../data/00_raw/3991/H5VL5BGXH/L001/3991_S1_L001_R1_001.fastq.gz,,reverse,D1
grpA,1,../../data/00_raw/3991/H5VL5BGXH/L002/3991_S1_L002_R1_001.fastq.gz,,reverse,D1
grpA,1,../../data/00_raw/3991/H5VL5BGXH/L003/3991_S1_L003_R1_001.fastq.gz,,reverse,D1
grpA,1,../../data/00_raw/3991/H5VL5BGXH/L004/3991_S1_L004_R1_001.fastq.gz,,reverse,D1
grpB,1,../../data/00_raw/3992/H5VL5BGXH/L001/3992_S2_L001_R1_001.fastq.gz,,reverse,D1
grpB,1,../../data/00_raw/3992/H5VL5BGXH/L002/3992_S2_L002_R1_001.fastq.gz,,reverse,D1
grpB,1,../../data/00_raw/3992/H5VL5BGXH/L003/3992_S2_L003_R1_001.fastq.gz,,reverse,D1
grpB,1,../../data/00_raw/3992/H5VL5BGXH/L004/3992_S2_L004_R1_001.fastq.gz,,reverse,D1
grpA,2,../../data/00_raw/3993/H5VL5BGXH/L001/3993_S3_L001_R1_001.fastq.gz,,reverse,D2
grpA,2,../../data/00_raw/3993/H5VL5BGXH/L002/3993_S3_L002_R1_001.fastq.gz,,reverse,D2
grpA,2,../../data/00_raw/3993/H5VL5BGXH/L003/3993_S3_L003_R1_001.fastq.gz,,reverse,D2
grpA,2,../../data/00_raw/3993/H5VL5BGXH/L004/3993_S3_L004_R1_001.fastq.gz,,reverse,D2
grpB,2,../../data/00_raw/3994/H5VL5BGXH/L001/3994_S4_L001_R1_001.fastq.gz,,reverse,D2
grpB,2,../../data/00_raw/3994/H5VL5BGXH/L002/3994_S4_L002_R1_001.fastq.gz,,reverse,D2
grpB,2,../../data/00_raw/3994/H5VL5BGXH/L003/3994_S4_L003_R1_001.fastq.gz,,reverse,D2
grpB,2,../../data/00_raw/3994/H5VL5BGXH/L004/3994_S4_L004_R1_001.fastq.gz,,reverse,D2
grpA,3,../../data/00_raw/3995/H5VL5BGXH/L001/3995_S5_L001_R1_001.fastq.gz,,reverse,D3
grpA,3,../../data/00_raw/3995/H5VL5BGXH/L002/3995_S5_L002_R1_001.fastq.gz,,reverse,D3
grpA,3,../../data/00_raw/3995/H5VL5BGXH/L003/3995_S5_L003_R1_001.fastq.gz,,reverse,D3
grpA,3,../../data/00_raw/3995/H5VL5BGXH/L004/3995_S5_L004_R1_001.fastq.gz,,reverse,D3
grpB,3,../../data/00_raw/3996/H5VL5BGXH/L001/3996_S6_L001_R1_001.fastq.gz,,reverse,D3
grpB,3,../../data/00_raw/3996/H5VL5BGXH/L002/3996_S6_L002_R1_001.fastq.gz,,reverse,D3
grpB,3,../../data/00_raw/3996/H5VL5BGXH/L003/3996_S6_L003_R1_001.fastq.gz,,reverse,D3
grpB,3,../../data/00_raw/3996/H5VL5BGXH/L004/3996_S6_L004_R1_001.fastq.gz,,reverse,D3
